active,branch,cwd,file,filetype,project,time
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/lazy.lua,lua,nixdotfiles,2025-04-03 04:21:13
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/lazy.lua,lua,nixdotfiles,2025-04-03 04:22:43
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/lazy.lua,lua,nixdotfiles,2025-04-03 04:22:55
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/lazy.lua,lua,nixdotfiles,2025-04-03 04:23:06
