active,branch,cwd,file,filetype,project,time
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core/keymaps.lua,lua,nixdotfiles,2025-04-03 04:17:20
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core/keymaps.lua,lua,nixdotfiles,2025-04-03 04:17:47
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core/options.lua,lua,nixdotfiles,2025-04-03 04:19:15
true,main,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core,/home/ext4/.dotfiles/hmconfigs/neovim/nconfig/lua/axt4/core/options.lua,lua,nixdotfiles,2025-04-03 04:19:37
